,Actb,Gadph,Metabolic process,#Detected Genes,Mapping rate
ola_mES_2i_3_94.counts,0.007738413,1.56E-05,0.01514168,8584,0.551418406
ola_mES_2i_3_95.counts,0.007350071,8.35E-05,0.015431559,8915,0.558864776
ola_mES_2i_3_96.counts,0.007140143,0.000159359,0.017344182,8008,0.557736727
ola_mES_2i_4_1.counts,0.002877182,0.000317972,0.02810603,11797,0.875555127
ola_mES_2i_4_10.counts,0.003952022,0.000154106,0.03373595,11966,0.870623769
ola_mES_2i_4_11.counts,0.003078036,0.0002088,0.031360981,11152,0.851149162
ola_mES_2i_4_12.counts,0.00389948,0,0.037694974,1437,0.66176822
ola_mES_2i_4_13.counts,0.003187179,0.000164964,0.031287562,12073,0.870327953
ola_mES_2i_4_14.counts,0.00313433,6.74E-05,0.016944192,12079,0.806497203
ola_mES_2i_4_15.counts,0.003095546,0.000218054,0.029704201,9831,0.861820194
ola_mES_2i_4_16.counts,0.003961011,0.000130365,0.017241796,13758,0.664511164
ola_mES_2i_4_17.counts,0.003415504,0.000204612,0.032697719,11483,0.852233221
ola_mES_2i_4_18.counts,0.003561866,0.000131442,0.030876715,11769,0.852142506
ola_mES_2i_4_19.counts,0.004102401,0.000192821,0.023391347,13603,0.770872882
ola_mES_2i_4_2.counts,0.003310592,0.000138832,0.028842901,12785,0.861909076
ola_mES_2i_4_20.counts,0.003215133,0.000135256,0.032180585,11607,0.86265687
ola_mES_2i_4_21.counts,0.005430347,0.000215511,0.035139517,12474,0.848495219
ola_mES_2i_4_22.counts,0.003068625,0.000160536,0.028553024,11716,0.845822372
ola_mES_2i_4_23.counts,0.004355926,0.000232509,0.028650117,12113,0.831222296
ola_mES_2i_4_24.counts,0.003446323,0.000140123,0.032672904,11380,0.847612124
ola_mES_2i_4_25.counts,0.003821579,0.000202877,0.029698632,12086,0.848833366
ola_mES_2i_4_26.counts,0.002981858,0.000217176,0.028377834,11666,0.860083885
ola_mES_2i_4_27.counts,0.002500796,0.000215315,0.02940741,10504,0.850485555
ola_mES_2i_4_28.counts,0.005977381,0.000226571,0.030841678,12648,0.804138324
ola_mES_2i_4_29.counts,0.002894808,0.000180673,0.029970263,11674,0.856402351
ola_mES_2i_4_3.counts,0.003481696,1.59E-05,0.012788301,7253,0.801786164
ola_mES_2i_4_30.counts,0.003172387,0.0001636,0.030030093,12324,0.822269154
ola_mES_2i_4_31.counts,0.002980749,0.000323337,0.032469942,12089,0.862850592
ola_mES_2i_4_32.counts,0.003855759,0.000164555,0.028333376,12183,0.856318127
ola_mES_2i_4_33.counts,0.00258909,0.000165734,0.027991994,11832,0.856020826
ola_mES_2i_4_34.counts,0.003385272,0.000220736,0.032658902,11719,0.849308129
ola_mES_2i_4_35.counts,0.002581831,9.99E-05,0.031652163,11150,0.837023596
ola_mES_2i_4_36.counts,0.002945451,0.000168123,0.029674684,11370,0.852742267
ola_mES_2i_4_37.counts,0.003045097,0.000194955,0.031086447,12974,0.847178827
ola_mES_2i_4_38.counts,0.003479568,0.000168681,0.032060267,13299,0.85192489
ola_mES_2i_4_39.counts,0.007329641,0.000156206,0.035071744,11983,0.872130764
